country,age,is_mobile,source,converted
UK,33,0,Direct,0
NA,38,1,Seo,0
NA,46,0,Ads,0
NA,48,1,Seo,0
Ireland,53,0,Ads,0
UK,45,0,Direct,0
UK,41,0,Seo,0
France,57,0,Seo,0
NA,62,0,Seo,0
Ireland,40,1,Seo,0
UK,43,1,Direct,0
UK,39,1,Seo,0
Ireland,70,0,Seo,0
UK,31,1,Ads,0
NA,36,1,Direct,0
Ireland,37,1,Seo,0
UK,38,1,Seo,0
UK,30,1,Seo,0
NA,26,1,Seo,0
UK,39,1,Seo,0
NA,57,1,Seo,0
Ireland,62,0,Seo,0
Ireland,59,1,Seo,0
Ireland,61,0,Ads,0
NA,45,1,Seo,0
UK,47,1,Ads,0
Ireland,28,1,Ads,0
France,47,1,Ads,0
NA,50,1,Seo,0
UK,45,1,Seo,0
UK,62,1,Direct,0
UK,50,1,Ads,0
Ireland,64,0,Seo,0
NA,47,1,Direct,0
UK,44,0,Direct,0
NA,50,0,Direct,0
UK,39,1,Ads,0
UK,60,1,Seo,0
France,30,1,Seo,0
UK,52,1,Seo,0
UK,47,1,Seo,0
UK,44,0,Direct,0
UK,48,0,Ads,0
UK,40,1,Direct,0
UK,18,1,Direct,0
UK,56,1,Ads,0
UK,36,1,Seo,0
NA,58,1,Ads,0
UK,38,1,Ads,0
UK,53,1,Ads,0
Ireland,34,1,Ads,0
NA,44,1,Seo,0
UK,65,1,Ads,0
Ireland,23,0,Seo,0
Ireland,29,1,Ads,0
UK,55,1,Seo,0
UK,46,1,Ads,0
UK,55,1,Ads,0
UK,44,1,Direct,0
NA,57,0,Seo,0
UK,38,1,Seo,0
UK,47,1,Ads,0
NA,36,1,Seo,0
UK,60,1,Seo,0
UK,39,0,Seo,0
UK,32,0,Direct,0
UK,37,1,Ads,0
France,46,0,Seo,0
UK,56,0,Seo,0
NA,40,1,Direct,0
UK,52,1,Ads,0
NA,58,1,Seo,0
UK,46,0,Seo,0
UK,40,1,Direct,0
UK,54,1,Ads,0
Ireland,47,1,Seo,0
UK,47,0,Seo,0
UK,45,0,Direct,0
UK,44,0,Seo,0
UK,45,1,Direct,0
UK,34,1,Ads,0
France,48,1,Seo,0
UK,60,0,Direct,0
UK,57,1,Seo,0
NA,35,1,Ads,0
Ireland,35,0,Seo,0
Ireland,52,1,Seo,0
NA,30,1,Seo,0
NA,35,1,Seo,0
France,30,1,Ads,0
UK,26,1,Seo,0
UK,19,0,Direct,0
UK,54,1,Seo,0
NA,58,1,Seo,0
UK,30,1,Ads,0
NA,50,1,Direct,0
UK,30,1,Direct,0
UK,36,1,Seo,0
UK,66,1,Ads,0
NA,37,0,Seo,0
UK,59,1,Direct,0
UK,39,1,Seo,0
UK,39,1,Ads,0
UK,28,1,Seo,0
Ireland,47,1,Direct,0
UK,41,1,Seo,0
UK,29,1,Ads,0
UK,48,0,Seo,0
Ireland,45,1,Ads,0
Ireland,42,1,Seo,0
UK,41,1,Ads,0
NA,44,0,Seo,0
UK,54,1,Ads,0
NA,29,1,Direct,0
NA,53,1,Seo,0
NA,40,1,Ads,0
Ireland,35,1,Ads,0
UK,44,1,Seo,0
Ireland,51,0,Seo,0
UK,55,1,Seo,0
NA,57,1,Direct,0
UK,46,1,Ads,0
UK,31,0,Direct,0
UK,51,1,Ads,0
NA,46,1,Ads,0
UK,44,1,Seo,0
Ireland,47,1,Ads,0
NA,21,1,Direct,0
UK,34,1,Ads,0
UK,37,0,Direct,0
UK,64,1,Direct,0
NA,58,1,Direct,0
UK,33,1,Ads,0
UK,39,1,Seo,0
NA,55,0,Ads,0
UK,49,0,Seo,0
UK,40,0,Seo,0
UK,56,1,Ads,0
NA,59,0,Direct,0
NA,60,1,Ads,0
UK,73,0,Seo,0
UK,32,1,Seo,0
NA,25,0,Seo,0
UK,34,1,Seo,0
UK,54,1,Direct,0
UK,51,1,Ads,0
Ireland,47,1,Direct,0
France,48,1,Direct,0
NA,36,1,Seo,0
NA,34,0,Direct,0
Ireland,64,1,Direct,0
UK,30,1,Ads,0
NA,50,1,Seo,0
Ireland,53,0,Seo,0
NA,53,0,Seo,0
Ireland,30,1,Seo,0
Ireland,43,0,Seo,0
NA,53,1,Ads,0
NA,29,1,Ads,0
Ireland,42,1,Ads,0
UK,56,1,Ads,0
NA,33,1,Direct,0
UK,51,1,Seo,0
UK,28,1,Direct,0
UK,48,1,Seo,0
UK,45,0,Seo,0
UK,53,1,Seo,0
NA,39,1,Seo,0
UK,31,1,Ads,0
NA,28,1,Seo,0
UK,43,1,Seo,0
UK,64,1,Seo,0
UK,33,1,Seo,0
UK,46,1,Seo,0
UK,59,1,Seo,0
Ireland,62,0,Seo,0
NA,48,1,Seo,0
Ireland,40,1,Seo,0
UK,43,1,Seo,0
UK,34,1,Direct,0
UK,36,1,Ads,0
UK,58,1,Ads,0
NA,27,0,Ads,0
NA,67,1,Seo,0
UK,57,1,Direct,0
Ireland,29,0,Seo,0
UK,38,0,Seo,0
UK,41,1,Ads,0
UK,54,1,Ads,0
Ireland,49,0,Ads,0
UK,32,1,Seo,0
France,61,1,Ads,0
NA,47,1,Ads,0
UK,40,1,Direct,0
UK,43,1,Seo,0
NA,46,0,Ads,0
UK,40,1,Seo,0
NA,28,0,Seo,0
UK,47,1,Direct,0
UK,35,1,Ads,0
UK,23,1,Seo,0
UK,35,1,Direct,0
